product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Elite Gear 1,Detailed description of product 1,9,1,8,289.02,176.3,16.4,true,2023-08-20,2025-11-15
2,SKU-000002,Basic Set 2,Detailed description of product 2,5,10,2,21.23,12.31,44.3,true,2022-05-11,2024-05-28
3,SKU-000003,Max Kit 3,Detailed description of product 3,4,14,3,141.61,99.13,35.9,true,2022-01-28,2026-03-06
4,SKU-000004,Pro Device 4,Detailed description of product 4,7,15,4,84.09,37.84,1.2,true,2022-03-20,2024-12-09
5,SKU-000005,Elite Gear 5,Detailed description of product 5,8,12,1,147.25,85.41,7.1,true,2022-06-20,2024-09-28
6,SKU-000006,Basic Tool 6,Detailed description of product 6,9,15,8,199.57,119.74,5.4,true,2023-12-14,2025-04-03
7,SKU-000007,Mega Pack 7,Detailed description of product 7,1,10,8,378.2,257.18,17.3,true,2022-02-17,2024-02-11
8,SKU-000008,Basic Device 8,Detailed description of product 8,6,6,2,110.16,64.99,24.3,true,2022-07-16,2024-09-01
9,SKU-000009,Smart Kit 9,Detailed description of product 9,1,2,6,361.9,177.33,28.9,false,2022-10-09,2024-12-14
10,SKU-000010,Ultra Kit 10,Detailed description of product 10,7,9,2,356.44,217.43,46.2,false,2022-11-23,2025-02-10
11,SKU-000011,Ultra Device 11,Detailed description of product 11,4,6,3,155.11,79.11,21.8,true,2022-03-31,2024-05-03
12,SKU-000012,Super Gadget 12,Detailed description of product 12,3,1,5,347.83,166.96,42.1,true,2022-01-08,2025-07-15
13,SKU-000013,Max Device 13,Detailed description of product 13,1,14,1,471.94,217.09,39.3,true,2023-10-28,2025-10-27
14,SKU-000014,Premium Kit 14,Detailed description of product 14,7,2,1,56.79,36.35,36.1,true,2022-11-28,2024-10-25
15,SKU-000015,Elite Product 15,Detailed description of product 15,10,11,7,257.75,141.76,39.7,true,2023-10-10,2024-08-18
16,SKU-000016,Mini Gadget 16,Detailed description of product 16,4,14,3,429.76,184.8,29.3,true,2022-12-13,2026-03-04
17,SKU-000017,Mega Kit 17,Detailed description of product 17,10,13,6,438.7,206.19,47.8,true,2023-12-04,2025-09-26
18,SKU-000018,Basic Pack 18,Detailed description of product 18,2,11,4,24.74,10.64,28.2,true,2023-03-18,2025-12-10
19,SKU-000019,Smart Gadget 19,Detailed description of product 19,8,11,5,213.58,89.7,42.8,true,2023-04-20,2025-09-15
20,SKU-000020,Mini Gear 20,Detailed description of product 20,3,12,4,100.04,66.03,39.8,true,2022-04-18,2024-10-15
